,name,link,fee,location,Bayern,Baden-Württemberg,Berlin,Brandenburg,Bremen,Hamburg,Hessen,Mecklenburg-Vorpommern,Niedersachsen,Nordrhein-Westfalen,Rheinland-Pfalz,Saarland,Sachsen,Sachsen-Anhalt,Schleswig-Holstein,Thüringen
60,mhplus Betriebskrankenkasse,http://www.mhplus.de,1.58,"Baden-Württemberg, Bayern, Berlin, Hamburg, Hessen, Mecklenburg-Vorpommern, Niedersachsen, Nordrhein-Westfalen, Rheinland-Pfalz, Sachsen, Sachsen-Anhalt, Schleswig-Holstein, Thüringen",True,True,True,False,False,True,True,True,True,True,True,False,True,True,True,True
61,Novitas BKK,http://www.novitas-bkk.de,1.54,bundesweit,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
62,Pronova BKK,http://www.pronovabkk.de,1.7,bundesweit,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
63,R+V Betriebskrankenkasse,http://www.ruv-bkk.de,1.4,bundesweit,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
64,Salus BKK,http://www.salus-bkk.de,1.59,bundesweit,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
65,SECURVITA BKK,http://www.securvita.de,1.6,"Baden-Württemberg, Bayern, Berlin, Brandenburg, Hamburg, Hessen, Mecklenburg-Vorpommern, Niedersachsen, Nordrhein-Westfalen, Rheinland-Pfalz, Sachsen, Sachsen-Anhalt, Schleswig-Holstein, Thüringen",True,True,True,True,False,True,True,True,True,True,True,False,True,True,True,True
66,Siemens-Betriebskrankenkasse (SBK),http://www.sbk.org,1.5,bundesweit,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
67,SKD BKK,http://www.skd-bkk.de,1.15,"Baden-Württemberg, Bayern, Berlin, Bremen, Hamburg, Hessen, Niedersachsen, Nordrhein-Westfalen, Saarland, Sachsen, Schleswig-Holstein",True,True,True,False,True,True,True,False,True,True,False,True,True,False,True,False
68,Techniker Krankenkasse,http://www.tk.de,1.2,bundesweit,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
69,TUI BKK,http://www.tui-bkk.de/,1.5,bundesweit,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
70,VIACTIV Krankenkasse,http://www.viactiv.de,1.6,bundesweit,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
71,vivida bkk,http://www.vividabkk.de/,1.4,bundesweit,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
72,WMF Betriebskrankenkasse,http://www.wmf-bkk.de,1.6,bundesweit,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
